Adult_IP	Sup_IP	LTR_type	family	HOG	cons	strand	length	dt	Adult_IP_rpkm	Sup_IP_rpkm	sim_LTR	length_centred
soloLTR_As:529	1.25592287934876	2.47398076271058	soloLTR	rnd-5_family-1101	N0.HOG0000047_OG0000033_n0	C	As	2.61384182187607	1	1.73130008747507	2.65223971825555	soloLTR	-0.352615303232872
soloLTR_As:530	0.89359921941392	2.37762370683567	soloLTR	rnd-5_family-1101	N0.HOG0000047_OG0000033_n0	C	As	2.61384182187607	1	1.28750003527058	2.59686044962467	soloLTR	-0.352615303232872
LTR_As:538	1.86812982458701	4.03895737398256	LTR_fl	rnd-5_family-1490	N0.HOG0000032_OG0000021_n0	C	As	2.28330122870355	1	3.36435419169595	4.43332556536728	LTR	-0.683155896405391
soloLTR_As:566	2.00922668083478	0.344232700467703	soloLTR	rnd-5_family-7789	N0.HOG0000016_OG0000008_n0	HC	As	2.6170003411209	0	2.35542739206667	0.132427504046604	soloLTR	-0.349456783988042
soloLTR_As:634	120.197003699567	832.629983685241	soloLTR	rnd-5_family-2347	N0.HOG0000016_OG0000008_n0	HC	As	2.49136169383427	1	8.60022585925657	11.3913803402179	soloLTR	-0.475095431274668
LTR_As:745	2.33008558156643	1.18945149345497	LTR	rnd-5_family-80	N0.HOG0000010_OG0000006_n0	HC	As	2.93094903116752	0	1.51568690386849	0.605814606944487	LTR	-0.0355080939414183
int_As:746	12.8331927441333	33.7154147361305	int	rnd-5_family-80	N0.HOG0000010_OG0000006_n0	HC	As	3.30254737248749	1	2.6889725716138	4.07496960086755	int	0.336090247378544
soloLTR_As:879	0.629262351768081	2.19378728304354	soloLTR	rnd-1_family-807	no_RT	Other	As	2.39794000867204	1	1.56173113788396	3.20359763992144	soloLTR	-0.568517116436904
int_As:899	14.0394457475611	43.8079101264282	int_fl	rnd-3_family-1455	N0.HOG0000032_OG0000021_n0	C	As	3.21510858105309	1	3.10801417176146	4.7421379216914	int	0.248651455944152
int_As:907	13.4082335861095	27.0179768344994	int_fl	rnd-3_family-1455	N0.HOG0000032_OG0000021_n0	C	As	3.92090560416402	1	0.697549152364319	1.70248821350488	int	0.954448479055083
